JA04-03-AP-00014
PIPING AND INSTRUMENTATION DIAGRAM\JUDY RISER PLATFORM AND BRIDGE\JASMINE HP SEPARATOR
Continuity Labels
Number,Tag,x,y,w,h,Pointing Direction,Location
1,horizontal,4850,3823,4993,3823,3,F5,N/A
2,horizontal,5376,3869,5669,3869,4,F5,N/A
3,horizontal,5376,3600,5669,3600,4,F5,N/A
4,horizontal,5087,1110,5581,1110,4,F2,N/A
5,horizontal,4191,1110,4870,1110,4,E2,N/A
6,horizontal,3553,1110,4120,1110,4,E2,N/A
7,horizontal,3223,1110,3481,1110,4,D2,N/A
8,horizontal,467,1009,952,1009,4,A2,right
9,vertical,5376,3803,5376,3992,4,F5,N/A
10,vertical,4413,3624,4413,3827,4,E5,N/A
11,vertical,5275,3465,5275,3826,4,F5,N/A
12,vertical,4850,3465,4850,3826,4,F5,N/A
13,vertical,4413,2486,4413,3050,4,E4,N/A
14,vertical,2643,2475,2643,2961,4,C4,N/A
15,vertical,3551,2104,3551,2303,4,D3,N/A
16,vertical,952,1875,952,2240,4,B3,N/A
17,vertical,3551,1614,3551,2067,4,D3,up
18,vertical,952,1634,952,1804,4,B2,N/A
19,vertical,2475,1483,2475,1614,4,C2,N/A
20,vertical,2879,1315,2879,1456,4,D2,N/A
21,vertical,1557,1315,1557,1479,4,B2,N/A
22,vertical,952,1007,952,1389,4,B2,N/A
23,horizontal,467,2467,901,2467,9,A3,N/A
24,vertical,3998,3635,3998,4034,9,E5,N/A
25,vertical,3998,3377,3998,3564,9,E4,N/A
26,vertical,4155,3151,4155,3470,9,E4,N/A
27,horizontal,4773,3465,4960,3465,10,F4,N/A
28,horizontal,4155,3465,4438,3465,10,E4,N/A
29,horizontal,4930,2041,5581,2041,10,F3,N/A
30,vertical,4290,2036,4290,2434,10,E3,N/A
31,vertical,2879,986,2879,1103,6,D2,N/A
32,vertical,2878,1140,2878,1243,6,D2,N/A
33,vertical,2879,1527,2879,1614,6,D2,N/A
34,vertical,1557,989,1557,1102,6,B2,N/A
35,vertical,1556,1140,1556,1244,6,B2,N/A
36,horizontal,4372,2041,4475,2041,12,E3,N/A
37,horizontal,5535,3499,5588,3499,9,F5,N/A
38,vertical,5667,3848,5667,3869,6,G5,N/A
39,vertical,5666,3692,5666,3777,5,G5,N/A
40,vertical,5667,3600,5667,3620,5,G5,N/A
41,horizontal,4661,3464,4680,3464,11,F4,N/A
42,horizontal,4550,3465,4589,3465,10,E4,N/A
43,horizontal,4464,3464,4513,3464,11,E4,N/A
44,vertical,3998,3255,3998,3305,11,E4,N/A
45,vertical,3999,3195,3999,3218,10,E4,N/A
46,vertical,4255,3198,4255,3249,7,E4,N/A
47,vertical,4255,3154,4255,3172,5,E4,N/A
48,vertical,3998,3153,3998,3171,5,E4,N/A
49,vertical,3819,3154,3819,3171,6,E4,N/A
50,vertical,3684,3155,3684,3171,5,D4,N/A
51,vertical,3551,3153,3551,3170,6,D4,N/A
52,vertical,3416,3153,3416,3171,6,D4,N/A
53,vertical,3281,3154,3281,3172,5,D4,N/A
54,vertical,3012,3154,3012,3171,5,D4,N/A
55,vertical,2072,3154,2072,3171,4,C4,N/A
56,vertical,2475,1292,2475,1411,6,C2,N/A
57,vertical,2474,1141,2474,1220,5,C2,N/A
58,vertical,2474,989,2474,1101,6,C2,N/A
59,horizontal,2416,953,2440,953,6,C2,N/A
60,vertical,951,1460,951,1529,5,B2,N/A
61,horizontal,1939,2467,1955,2467,6,C3,N/A
62,vertical,2206,3154,2206,3171,5,C4,N/A
63,vertical,2431,3154,2431,3171,6,C4,N/A
64,vertical,2576,3154,2576,3171,5,C4,N/A
